TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT
section,Genesis,,,,,,,,,,
task,1~3,,,,,,1/1,,,,
task,4~6,,,,,,1/2,,,,
task,7~10,,,,,,1/3,,,,
task,11~13,,,,,,1/4,,,,
task,14~17,,,,,,1/5,,,,
task,18~20,,,,,,1/6,,,,
task,21~23,,,,,,1/7,,,,
task,24~25,,,,,,1/8,,,,
task,26~28,,,,,,1/9,,,,
task,29~30,,,,,,1/10,,,,
task,31~33,,,,,,1/11,,,,
task,34~36,,,,,,1/12,,,,
task,37~39,,,,,,1/13,,,,
task,40~41,,,,,,1/14,,,,
task,42~44,,,,,,1/15,,,,
task,45~47,,,,,,1/16,,,,
task,48~50,,,,,,1/17,,,,
,,,,,,,,,,,
section,Exodus,,,,,,,,,,
task,1~3,,,,,,1/18,,,,
task,4~6,,,,,,1/19,,,,
task,7~9,,,,,,1/20,,,,
task,10~12,,,,,,1/21,,,,
task,13~15,,,,,,1/22,,,,
task,16~18,,,,,,1/23,,,,
task,19~21,,,,,,1/24,,,,
task,22~24,,,,,,1/25,,,,
task,25~27,,,,,,1/26,,,,
task,28~29,,,,,,1/27,,,,
task,30~32,,,,,,1/28,,,,
task,33~35,,,,,,1/29,,,,
task,36~38,,,,,,1/30,,,,
task,39~40,,,,,,1/31,,,,
,,,,,,,,,,,
section,Leviticus,,,,,,,,,,
task,1~4,,,,,,2/1,,,,
task,5~7,,,,,,2/2,,,,
task,8~10,,,,,,2/3,,,,
task,11~12,,,,,,2/4,,,,
task,13~14,,,,,,2/5,,,,
task,15~17,,,,,,2/6,,,,
task,18~20,,,,,,2/7,,,,
task,21~23,,,,,,2/8,,,,
task,24~25,,,,,,2/9,,,,
task,26~27,,,,,,2/10,,,,
,,,,,,,,,,,
section,Numbers,,,,,,,,,,
task,1~2,,,,,,2/11,,,,
task,3,,,,,,2/12,,,,
task,4~5,,,,,,2/13,,,,
task,6~7,,,,,,2/14,,,,
task,8~10,,,,,,2/15,,,,
task,11~13,,,,,,2/16,,,,
task,14~15,,,,,,2/17,,,,
task,16~18,,,,,,2/18,,,,
task,19~21,,,,,,2/19,,,,
task,22~23,,,,,,2/20,,,,
task,24~26,,,,,,2/21,,,,
task,27~29,,,,,,2/22,,,,
task,30~31,,,,,,2/23,,,,
task,32~33,,,,,,2/24,,,,
task,34~36,,,,,,2/25,,,,
,,,,,,,,,,,
section,Deuteronomy,,,,,,,,,,
task,1~2,,,,,,2/26,,,,
task,3~4,,,,,,2/27,,,,
task,5~7,,,,,,2/28,,,,
task,8~10,,,,,,3/1,,,,
task,11~13,,,,,,3/2,,,,
task,14~16,,,,,,3/3,,,,
task,17~20,,,,,,3/4,,,,
task,21~23,,,,,,3/5,,,,
task,24~27,,,,,,3/6,,,,
task,28,,,,,,3/7,,,,
task,29~31,,,,,,3/8,,,,
task,32~34,,,,,,3/9,,,,
,,,,,,,,,,,
section,Joshua,,,,,,,,,,
task,1~4,,,,,,3/10,,,,
task,5~7,,,,,,3/11,,,,
task,8~9,,,,,,3/12,,,,
task,10~12,,,,,,3/13,,,,
task,13~15,,,,,,3/14,,,,
task,16~18,,,,,,3/15,,,,
task,19~21,,,,,,3/16,,,,
task,22~24,,,,,,3/17,,,,
,,,,,,,,,,,
section,Judges,,,,,,,,,,
task,1~3,,,,,,3/18,,,,
task,4~6,,,,,,3/19,,,,
task,7~8,,,,,,3/20,,,,
task,9~10,,,,,,3/21,,,,
task,11~13,,,,,,3/22,,,,
task,14~17,,,,,,3/23,,,,
task,18~19,,,,,,3/24,,,,
task,20~21,,,,,,3/25,,,,
,,,,,,,,,,,
section,Ruth,,,,,,,,,,
task,1~4,,,,,,3/26,,,,
,,,,,,,,,,,
section,1 Samuel,,,,,,,,,,
task,1~3,,,,,,3/27,,,,
task,4~6,,,,,,3/28,,,,
task,7~9,,,,,,3/29,,,,
task,10~12,,,,,,3/30,,,,
task,13~14,,,,,,3/31,,,,
task,15~16,,,,,,4/1,,,,
task,17~18,,,,,,4/2,,,,
task,19~21,,,,,,4/3,,,,
task,22~24,,,,,,4/4,,,,
task,25~27,,,,,,4/5,,,,
task,28~31,,,,,,4/6,,,,
,,,,,,,,,,,
section,2 Samuel,,,,,,,,,,
task,1~3,,,,,,4/7,,,,
task,4~7,,,,,,4/8,,,,
task,8~10,,,,,,4/9,,,,
task,11~12,,,,,,4/10,,,,
task,13~14,,,,,,4/11,,,,
task,15~17,,,,,,4/12,,,,
task,18~19,,,,,,4/13,,,,
task,20~22,,,,,,4/14,,,,
task,23~24,,,,,,4/15,,,,
,,,,,,,,,,,
section,1 Kings,,,,,,,,,,
task,1~2,,,,,,4/16,,,,
task,3~5,,,,,,4/17,,,,
task,6~7,,,,,,4/18,,,,
task,8,,,,,,4/19,,,,
task,9~10,,,,,,4/20,,,,
task,11~12,,,,,,4/21,,,,
task,13~14,,,,,,4/22,,,,
task,15~16,,,,,,4/23,,,,
task,17~18,,,,,,4/24,,,,
task,19~20,,,,,,4/25,,,,
task,21~22,,,,,,4/26,,,,
,,,,,,,,,,,
section,2 Kings,,,,,,,,,,
task,1~3,,,,,,4/27,,,,
task,4~5,,,,,,4/28,,,,
task,6~8,,,,,,4/29,,,,
task,9~10,,,,,,4/30,,,,
task,11~13,,,,,,5/1,,,,
task,14~16,,,,,,5/2,,,,
task,17~18,,,,,,5/3,,,,
task,19~21,,,,,,5/4,,,,
task,22~23,,,,,,5/5,,,,
task,24~25,,,,,,5/6,,,,
,,,,,,,,,,,
section,1 Chronicles,,,,,,,,,,
task,1~3,,,,,,5/7,,,,
task,4~5,,,,,,5/8,,,,
task,6~7,,,,,,5/9,,,,
task,8~10,,,,,,5/10,,,,
task,11~13,,,,,,5/11,,,,
task,14~16,,,,,,5/12,,,,
task,17~20,,,,,,5/13,,,,
task,21~23,,,,,,5/14,,,,
task,24~26,,,,,,5/15,,,,
task,27~29,,,,,,5/16,,,,
,,,,,,,,,,,
section,2 Chronicles,,,,,,,,,,
task,1~4,,,,,,5/17,,,,
task,5~7,,,,,,5/18,,,,
task,8~11,,,,,,5/19,,,,
task,12~15,,,,,,5/20,,,,
task,16~19,,,,,,5/21,,,,
task,20~22,,,,,,5/22,,,,
task,23~25,,,,,,5/23,,,,
task,26~28,,,,,,5/24,,,,
task,29~30,,,,,,5/25,,,,
task,31~32,,,,,,5/26,,,,
task,33~34,,,,,,5/27,,,,
task,35~36,,,,,,5/28,,,,
,,,,,,,,,,,
section,Ezra,,,,,,,,,,
task,1~3,,,,,,5/29,,,,
task,4~6,,,,,,5/30,,,,
task,7~8,,,,,,5/31,,,,
task,9~10,,,,,,6/1,,,,
,,,,,,,,,,,
section,Nehemiah,,,,,,,,,,
task,1~4,,,,,,6/2,,,,
task,5~7,,,,,,6/3,,,,
task,8~9,,,,,,6/4,,,,
task,10~11,,,,,,6/5,,,,
task,12~13,,,,,,6/6,,,,
,,,,,,,,,,,
section,Esther,,,,,,,,,,
task,1~3,,,,,,6/7,,,,
task,4~7,,,,,,6/8,,,,
task,8~10,,,,,,6/9,,,,
,,,,,,,,,,,
section,Job,,,,,,,,,,
task,1~5,,,,,,6/10,,,,
